Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class,Apparent Magnitude (m)
3068.0,0.0024,0.17,16.12,Red Dwarf,Red,M,14.989221916516609
3042.0,0.0005,0.1542,16.6,Red Dwarf,Red,M,14.606542871928987
2600.0,0.0003,0.102,18.7,Red Dwarf,Red,M,17.013105864575472
2800.0,0.0002,0.16,16.65,Red Dwarf,Red,M,14.420196858551524
1939.0,0.000138,0.103,20.06,Red Dwarf,Red,M,19.283354158128137
2840.0,0.00065,0.11,16.98,Red Dwarf,Red,M,15.069599323561501
,0.00073,0.127,17.22,,,M,14.910133364556158
2600.0,0.0004,0.096,17.4,Red Dwarf,Red,M,14.368627791476925
2650.0,0.00069,0.11,17.45,Red Dwarf,Red,M,16.698176682498875
,0.00018,0.13,16.05,,,M,13.539314266998717
3600.0,0.0029,0.51,10.69,Brown Dwarf,Red,M,7.951560487132134
3129.0,0.0122,0.3761,11.79,Brown Dwarf,Red,M,11.948806238915449
3134.0,0.0004,0.196,13.21,Brown Dwarf,Red,M,10.877379261405714
3628.0,0.0055,0.393,10.48,Brown Dwarf,Red,M,9.823015961813327
2650.0,0.0006,0.14,11.782,Brown Dwarf,Red,M,9.636485093505764
,0.0038,0.24,13.07,,,M,10.572609757034318
2799.0,0.0018,0.16,14.79,Brown Dwarf,Red,M,12.814261940334719
3692.0,0.00367,0.47,10.8,Brown Dwarf,Red,M,8.448546937880144
3192.0,0.00362,0.1967,13.53,Brown Dwarf,Red,M,10.399418195945222
,0.039,0.351,11.18,,,M,8.768776130373102
25000.0,0.056,0.0084,10.58,White Dwarf,Blue White,B,9.412021838315772
7740.0,0.00049,0.01234,14.02,White Dwarf,White,A,12.66061134205476
7220.0,0.00017,0.011,14.23,White Dwarf,White,F,11.892165471305614
8500.0,0.0005,0.01,14.5,White Dwarf,White,A,11.734030304924442
,0.013,0.014,11.89,,,B,9.664466722385434
12990.0,8.5e-05,0.00984,12.23,White Dwarf,Yellowish White,F,8.782361436622892
8570.0,0.00081,0.0097,14.2,White Dwarf,Blue white,A,12.508910666162457
7700.0,0.00011,0.0128,14.47,White Dwarf,Yellowish White,F,12.390648150378562
11790.0,0.00015,0.011,12.59,White Dwarf,Yellowish White,F,9.649322247388213
7230.0,8e-05,0.013,14.08,White Dwarf,Pale yellow orange,F,11.155862856010533
,204000.0,10.6,-4.7,,,O,-6.629926761915031
30000.0,28840.0,6.3,-4.2,Main Sequence,Blue-white,B,-5.288426046580406
15276.0,1136.0,7.2,-1.97,Main Sequence,Blue-white,B,-4.585156012755445
9700.0,74.0,2.89,0.16,Main Sequence,Whitish,B,-2.1888149265604557
5800.0,0.81,0.9,5.05,Main Sequence,yellow-white,F,2.5749097999182364
8052.0,8.7,1.8,2.42,Main Sequence,Whitish,A,0.22682907811369635
6757.0,1.43,1.12,2.41,Main Sequence,yellow-white,F,1.4844934072366733
6380.0,1.35,0.98,2.93,Main Sequence,yellow-white,F,0.6244804662353509
5936.0,1.357,1.106,4.46,Main Sequence,yellow-white,F,1.2877987959314687
5587.0,0.819,0.99,5.03,Main Sequence,yellow-white,F,3.5960218029772086
3826.0,200000.0,19.0,-6.93,SuperGiants,Red,M,-9.446963899137218
3365.0,340000.0,23.0,-6.2,SuperGiants,Red,M,-8.942598086922136
3270.0,150000.0,88.0,-6.02,SuperGiants,Red,M,-7.2321729765891485
3200.0,195000.0,17.0,-7.22,SuperGiants,Red,M,-10.367524696044221
3008.0,280000.0,25.0,-6.0,SuperGiants,Red,M,-7.612979751011366
,320000.0,29.0,-6.6,,,M,-7.599190357467803
3575.0,123000.0,45.0,-6.78,SuperGiants,Red,M,-9.523372769363263
3574.0,200000.0,89.0,-5.24,SuperGiants,Red,M,-7.076505398166397
3625.0,184000.0,84.0,-6.74,SuperGiants,Red,M,-9.297573792614134
33750.0,220000.0,26.0,-6.1,SuperGiants,Blue,B,-7.67451181494612
3490.0,270000.0,1520.0,-9.4,HyperGiants,Red,M,-12.260508353162992
3750.0,283000.0,1260.0,-7.63,HyperGiants,Red,M,-8.975727478272752
3834.0,272000.0,1183.0,-9.2,HyperGiants,Red,M,-11.845370715804673
3749.0,550000.0,1648.0,-8.05,HyperGiants,Orange,M,-9.244806240591208
3650.0,310000.0,1324.0,-7.79,HyperGiants,Red,M,-9.60087702388568
3450.0,263000.0,1349.0,-11.75,HyperGiants,Red,M,-14.309340892008176
3660.0,363000.0,1673.0,-11.92,HyperGiants,Red,M,-15.086349086962299
3450.0,174000.0,1284.0,-11.28,HyperGiants,Red,M,-13.723980852467825
3752.0,209000.0,955.0,-11.24,HyperGiants,Red,M,-11.483439783755136
3535.0,195000.0,1546.0,-11.36,HyperGiants,Red,M,-12.961361456520724
3341.0,0.0056,0.057,16.23,Red Dwarf,Red,M,15.032071002016837
3432.0,0.00067,0.19,16.94,Red Dwarf,Red,M,14.35768849683833
2983.0,0.00024,0.094,16.09,Red Dwarf,Red,M,14.151294498864026
2835.0,0.00034,0.0918,16.96,Red Dwarf,Red,M,14.778947160464831
2935.0,0.00014,0.116,18.89,Red Dwarf,Red,M,16.463372369161284
3295.0,0.00098,0.132,17.13,Red Dwarf,Red,M,17.28629871985472
2945.0,0.00032,0.093,18.34,Red Dwarf,Red,M,16.341945676641476
2817.0,0.00098,0.0911,16.45,Red Dwarf,Red,M,13.054400293545456
2774.0,0.00036,0.118,17.39,Red Dwarf,Red,M,15.27890700082057
